CODGEO;LIBGEO;DEP;REG;EPCI;NATURE_EPCI;ARR;CV;ZE2010;UU2010;TUU2014;TDUU2014;AU2010;TAU2014;CATAEU2010;BV2012
24493;Saint-Raphaël;24;75;242401024;CC;242;2406;7202;24000;0;03;000;00;400;24164
24494;Saint-Rémy;24;75;200034197;CC;241;2411;7205;24000;0;04;998;00;300;24294
24495;Saint-Romain-de-Monpazier;24;75;200034833;CC;241;2408;7211;24000;0;02;000;00;400;24223
24496;Saint-Romain-et-Saint-Clément;24;75;242400752;CC;242;2421;7202;24000;0;04;595;01;222;24551
24498;Saint-Saud-Lacoussière;24;75;200071819;CC;242;2413;7202;24000;0;05;000;00;400;24311
24499;Saint-Sauveur;24;75;200070647;CA;241;2402;7201;00553;5;51;109;06;111;24037
24500;Saint-Sauveur-Lalande;24;75;200040384;CC;243;2409;7205;24000;0;03;000;00;400;24294
24501;Saint-Seurin-de-Prats;24;75;200034197;CC;241;2411;7205;24000;0;04;997;00;120;33108
24502;Saint-Séverin-d'Estissac;24;75;200040095;CC;243;2424;7202;24000;0;03;998;00;300;24309
24504;Saint-Sulpice-de-Roumagnac;24;75;200040400;CC;243;2416;7202;24000;0;04;998;00;300;24352
24505;Saint-Sulpice-d'Excideuil;24;75;242401024;CC;242;2406;7202;24000;0;04;000;00;400;24164
24507;Sainte-Trie;24;75;200041150;CC;244;2405;7202;24000;0;03;000;00;400;24164
24508;Saint-Victor;24;75;200040400;CC;243;2403;7202;24000;0;04;998;00;300;24352
24509;Saint-Vincent-de-Connezac;24;75;200040400;CC;243;2416;7202;24000;0;05;998;00;300;24352
24510;Saint-Vincent-de-Cosse;24;75;200027217;CC;244;2418;7203;24000;0;04;998;00;300;24520
24511;Saint-Vincent-Jalmoutiers;24;75;242400935;CC;243;2409;7202;24000;0;04;000;00;400;24352
24512;Saint-Vincent-le-Paluel;24;75;200027217;CC;244;2418;7203;24000;0;04;258;02;212;24520
24513;Saint-Vincent-sur-l'Isle;24;75;242401024;CC;242;2406;7202;24000;0;04;087;07;112;24322
24514;Saint-Vivien;24;75;200034197;CC;241;2411;7205;24000;0;04;997;00;120;24037
24515;Salagnac;24;75;242401024;CC;242;2406;7202;24000;0;05;000;00;400;24164
24516;Salignac-Eyvigues;24;75;200040830;CC;244;2420;7203;24000;0;06;998;00;300;24520
24517;Salles-de-Belvès;24;75;200041051;CC;244;2423;7203;24000;0;02;000;00;400;24035
24518;Salon;24;75;200040392;CA;243;2412;7202;24000;0;04;000;00;400;24571
24519;Sarlande;24;75;242401024;CC;242;2406;7202;24000;0;04;000;00;400;87187
24520;Sarlat-la-Canéda;24;75;200027217;CC;244;2418;7203;24205;2;22;258;02;211;24520
