CODGEO;LIBGEO;REG;DEP;ARR;CV;ZE1990;ZE2010;UU1999;AU1999;EU1999;TAU1999;TUU1999;TDUU1999;BV;EPCI;NATURE_EPCI;ZAUER1999
80412;Hamelet;22;80;802;8018;2202;2210;80000;032;1T;08;0;04;80212;248000499;CC;2
80413;Hancourt;22;80;804;8036;2219;2211;80000;000;9Z;00;0;03;80677;248000572;CC;6
80414;Hangard;22;80;803;8028;2202;2210;80000;032;1T;08;0;03;80570;248000432;CC;2
80415;Hangest-en-Santerre;22;80;803;8028;2202;2210;80000;000;9Z;00;0;05;80570;248000432;CC;6
80416;Hangest-sur-Somme;22;80;802;8034;2202;2210;80000;032;1T;08;0;05;80318;248000481;CC;2
80417;Harbonnières;22;80;803;8037;2219;2210;80000;000;9Z;00;0;06;80680;248000507;CC;6
80418;Hardecourt-aux-Bois;22;80;804;8016;2219;2211;80000;000;9Z;00;0;02;80620;248000465;CC;6
80419;Hargicourt;22;80;803;8027;2219;2210;80000;000;9Z;00;0;04;80561;248000739;CC;6
80420;Harponville;22;80;802;8003;2202;2210;80000;032;1T;08;0;03;80016;248000747;CC;2
80421;Hattencourt;22;80;803;8038;2219;2210;80000;000;9Z;00;0;04;80685;ZZZZZZZZZ;;6
80422;Hautvillers-Ouville;22;80;801;8031;2211;2209;80000;173;1T;05;0;04;80001;248000622;CC;2
80423;Havernas;22;80;802;8020;2202;2210;80000;032;1T;08;0;04;80021;248000457;CC;2
80424;Hébécourt;22;80;802;8013;2202;2210;80000;032;1T;08;0;04;80021;248000531;CA;2
80425;Hédauville;22;80;802;8003;2202;2210;80000;000;9Z;00;0;03;80016;248000747;CC;6
80426;Heilly;22;80;802;8018;2202;2210;80000;032;1T;08;0;04;80212;248000499;CC;2
80427;Hem-Hardinval;22;80;802;8021;2202;2210;80000;000;9Z;00;0;04;80253;248000416;CC;5
80428;Hem-Monacu;22;80;804;8016;2219;2211;80000;000;9Z;00;0;02;80620;248000465;CC;6
80429;Hénencourt;22;80;802;8018;2202;2210;80000;000;9Z;00;0;03;80016;248000499;CC;6
80430;Herbécourt;22;80;804;8014;2202;2210;80000;000;9Z;00;0;03;80620;ZZZZZZZZZ;;6
80431;Hérissart;22;80;802;8003;2202;2210;80000;032;1T;08;0;04;80021;248000747;CC;2
