"CODGEO";"LIBGEO";"POP"
"02158";"CHAMOUILLE";188
"02159";"CHAMPS";272
"02160";"CHAOURSE";528
"02161";"CHAPELLE-MONTHODON";220
"02162";"CHAPELLE-SUR-CHEZY";208
"02163";"CHARLY-SUR-MARNE";2635
"02164";"CHARMEL";296
"02165";"CHARMES";1748
"02166";"CHARTEVES";368
"02167";"CHASSEMY";684
"02168";"CHATEAU-THIERRY";14968
"02169";"CHATILLON-LES-SONS";80
"02170";"CHATILLON-SUR-OISE";152
"02171";"CHAUDARDES";104
"02172";"CHAUDUN";292
"02173";"CHAUNY";12484
"02174";"CHAVIGNON";764
"02175";"CHAVIGNY";160
"02176";"CHAVONNE";176
"02177";"CHERET";144
"02178";"CHERMIZY-AILLES";80
"02179";"CHERY-CHARTREUVE";324
"02180";"CHERY-LES-POUILLY";664
"02181";"CHERY-LES-ROZOY";104
"02182";"CHEVENNES";176
"02183";"CHEVREGNY";200
"02184";"CHEVRESIS-MONCEAU";348
"02185";"CHEZY-EN-ORXOIS";376
"02186";"CHEZY-SUR-MARNE";1306
"02187";"CHIERRY";1056
"02188";"CHIGNY";152
"02189";"CHIVRES-EN-LAONNOIS";376
"02190";"CHIVRES-VAL";552
"02191";"CHIVY-LES-ETOUVELLES";544
"02192";"CHOUY";316
"02193";"CIERGES";64
"02194";"CILLY";236
"02195";"CIRY-SALSOGNE";644
"02196";"CLACY-ET-THIERRET";300
"02197";"CLAIRFONTAINE";492
"02198";"CLAMECY";268
"02199";"CLASTRES";468
"02200";"CLERMONT-LES-FERMES";120
"02201";"COEUVRES-ET-VALSERY";412
"02203";"COINCY";1152
"02204";"COINGT";88
"02205";"COLLIGIS-CRANDELAIN";144
"02206";"COLONFAY";88
"02207";"COMMENCHON";155
"02208";"CONCEVREUX";196
"02209";"CONDE-EN-BRIE";636
"02210";"CONDE-SUR-AISNE";352
"02211";"CONDE-SUR-SUIPPE";280
"02212";"CONDREN";693
"02213";"CONNIGIS";252
"02214";"CONTESCOURT";72
"02215";"CORBENY";628
"02216";"CORCY";312
"02217";"COUCY-LE-CHATEAU-AUFFRIQUE";972
"02218";"COUCY-LES-EPPES";596
"02219";"COUCY-LA-VILLE";168
"02220";"COULONGES-COHAN";380
"02221";"COUPRU";152
"02222";"COURBES";44
"02223";"COURBOIN";252
"02224";"COURCELLES-SUR-VESLE";328
"02225";"COURCHAMPS";116
"02226";"COURMELLES";1605
"02227";"COURMONT";116
"02228";"COURTEMONT-VARENNES";308
"02229";"COURTRIZY-ET-FUSSIGNY";68
"02230";"COUVRELLES";184
"02231";"COUVRON-ET-AUMENCOURT";1040
"02232";"COYOLLES";340
"02233";"CRAMAILLE";120
"02234";"CRAONNE";52
"02235";"CRAONNELLE";100
"02236";"CRECY-AU-MONT";300
"02237";"CRECY-SUR-SERRE";1565
"02238";"CREPY";1688
"02239";"CREZANCY";1088
"02240";"CROIX-FONSOMME";208
"02241";"CROIX-SUR-OURCQ";88
"02242";"CROUTTES-SUR-MARNE";628
"02243";"CROUY";2597
"02244";"CRUPILLY";72
"02245";"CUFFIES";1509
"02246";"CUGNY";520
"02248";"CUIRIEUX";136
"02249";"CUIRY-HOUSSE";96
"02250";"CUIRY-LES-CHAUDARDES";36
"02251";"CUIRY-LES-IVIERS";48
"02252";"CUISSY-ET-GENY";60
"02253";"CUISY-EN-ALMONT";312
"02254";"CUTRY";112
"02255";"CYS-LA-COMMUNE";120
"02256";"DAGNY-LAMBERCY";152
"02257";"DALLON";412
"02258";"DAMMARD";444
"02259";"DAMPLEUX";376
"02260";"DANIZY";548
"02261";"DERCY";408
"02262";"DEUILLET";144
"02263";"DHUIZEL";108
"02264";"DIZY-LE-GROS";768
"02265";"DOHIS";140
"02266";"DOLIGNON";44
"02267";"DOMMIERS";252
"02268";"DOMPTIN";564
"02269";"DORENGT";156
"02270";"DOUCHY";172
"02271";"DRAVEGNY";164
"02272";"DROIZY";92
"02273";"DURY";172
"02274";"EBOULEAU";208
"02275";"EFFRY";384
"02276";"ENGLANCOURT";120
"02277";"EPAGNY";340
"02278";"EPARCY";48
"02279";"EPAUX-BEZU";516
"02280";"EPIEDS";328
"02281";"EPINE-AUX-BOIS";212
"02282";"EPPES";356
"02283";"ERLON";332
"02284";"ERLOY";120
"02286";"ESQUEHERIES";892
"02287";"ESSIGNY-LE-GRAND";1236
"02288";"ESSIGNY-LE-PETIT";416
"02289";"ESSISES";370
"02290";"ESSOMES-SUR-MARNE";2501
"02291";"ESTREES";444
"02292";"ETAMPES-SUR-MARNE";1348
"02293";"ETAVES-ET-BOCQUIAUX";613
"02294";"ETOUVELLES";180
"02295";"ETREAUPONT";888
"02296";"ETREILLERS";1128
"02297";"ETREPILLY";60
"02298";"ETREUX";1688
"02299";"EVERGNICOURT";564
"02301";"FAUCOUCOURT";284
"02302";"FAVEROLLES";308
"02303";"FAYET";604
"02304";"FERE";2832
"02305";"FERE-EN-TARDENOIS";3344
"02306";"FERTE-CHEVRESIS";568
"02307";"FERTE-MILON";2120
"02308";"FESMY-LE-SART";452
"02309";"FESTIEUX";484
"02310";"FIEULAINE";252
"02311";"FILAIN";92
"02312";"FLAMENGRIE";1068
"02313";"FLAVIGNY-LE-GRAND-ET-BEAURAIN";452
"02315";"FLAVY-LE-MARTEL";1536
"02316";"FLEURY";128
"02317";"FLUQUIERES";216
"02318";"FOLEMBRAY";1465
"02319";"FONSOMME";572
"02320";"FONTAINE-LES-CLERCS";252
"02321";"FONTAINE-LES-VERVINS";792
"02322";"FONTAINE-NOTRE-DAME";396
"02323";"FONTAINE-UTERTE";132
"02324";"FONTENELLE";254
"02325";"FONTENELLE-EN-BRIE";148
"02326";"FONTENOY";536
"02327";"FORESTE";120
"02328";"FOSSOY";628
"02329";"FOURDRAIN";416
"02330";"FRANCILLY-SELENCY";444
"02331";"FRANQUEVILLE";140
"02332";"FRESNES-EN-TARDENOIS";240
"02333";"FRESNES";144
"02334";"FRESNOY-LE-GRAND";3300
"02335";"FRESSANCOURT";172
"02336";"FRIERES-FAILLOUEL";773
"02337";"FROIDESTREES";212
"02338";"FROIDMONT-COHARTILLE";220
"02339";"GANDELU";612
"02340";"GAUCHY";5608
"02341";"GERCY";284
"02342";"GERGNY";176
"02343";"GERMAINE";56
"02344";"GERNICOURT";60
"02345";"GIBERCOURT";44
"02346";"GIZY";656
"02347";"GLAND";448
"02348";"GLENNES";164
"02349";"GOUDELANCOURT-LES-BERRIEUX";76
"02350";"GOUDELANCOURT-LES-PIERREPONT";176
"02351";"GOUSSANCOURT";64
"02352";"GOUY";660
"02353";"GRANDLUP-ET-FAY";344
"02354";"GRANDRIEUX";92
"02355";"GRICOURT";736
"02356";"GRISOLLES";144
"02357";"GRONARD";72
"02358";"GROUGIS";333
"02359";"GRUGIES";896
"02360";"GUIGNICOURT";2196
"02361";"GUISE";5920
"02362";"GUIVRY";236
"02363";"GUNY";436
"02364";"GUYENCOURT";252
"02366";"HANNAPES";292
"02367";"HAPPENCOURT";184
"02368";"HARAMONT";624
"02369";"HARCIGNY";232
"02370";"HARGICOURT";542
"02371";"HARLY";1824
"02372";"HARTENNES-ET-TAUX";364
"02373";"HARY";252
"02374";"LEHAUCOURT";852
"02375";"HAUTEVESNES";156
"02376";"HAUTEVILLE";173
"02377";"HAUTION";136
"02378";"HERIE";172
